airbus~airbus industrie jetliner airliner aircraft 
gas~gas propane gasoline canisters tetroxide 
producers~producers producer exporters refiners scriptwriters 
army~army soldiers military batallion dessalines 
acquisition~acquisition buyout purchase transaction merger 
advanced~advanced retreated robotics asat gps 
weapons~weapons weaponry weapon missiles arms 
international~international internatinal internationl interamerican interntional 
sales~sales exports sale purchases imports 
what~what dont something why how 
backing~backing backed support supporting supported 
does~does doesn did do would 
rifle~rifle pistol carbine rifles submachine 
association~association assocation associations associaton federation 
have~have had has ve having 
computer~computer computers software microprocessors desktop 
aided~aided abetted assisted helped augmented 
crime~crime crimes genovese lucchese heinous 
detection~detection detecting detect tna antidotes 
medical~medical dental radiology biomedical psychiatric 
diagnosis~diagnosis diagnoses electroshock diagnosing malignancy 
fiber~fiber optic wafers carbonizable carbohydrates 
optics~optics adaptive composites miniaturized microcomputer 
applications~applications applicants application requests extensions 
manufacturers~manufacturers companies importers carmakers manufactuers 
controlling~controlling control controls reining maximizing 
transfer~transfer transfers transferring transferred exportation 
high~high low highest equivalency triglyceride 
technology~technology technologies technological robotics tech 
design~design aerodynamic styling designs composites 
star~star stars superstar greats starring 
wars~wars sdi antimissile war ist 
anti~anti anit antiwar pro supression 
missile~missile missiles ballistic harpoon missle 
defense~defense defence dod pentagon mendizabal 
system~system systems hookups ducting governmentwide 
laser~laser lasers accelerators infrared neutrinos 
research~research studies astrophysics study experiments 
applicable~applicable rcra conformance enforceable supersede 
strategic~strategic snf coventional intiative slcm 
initiative~initiative initiatives intiative plan proposal 
welfare~welfare afdc ssi health wic 
reform~reform reforms liberalization perestroika democratization 
catastrophic~catastrophic medicare uncompensated surtax repeal 
insurance~insurance insurer insurers reinsurance indemnity 
black~black hispanic blacks white mamelodi 
monday~monday wednesday thursday tuesday friday 
control~control controls controlling controlled reorient 
japanese~japanese japan japanse agaisnt korean 
regulation~regulation regulations prohibitions conformance regulate 
protectionist~protectionist defeatist protectionism draconian inimical 
find~find finding found generalize unearth 
innovative~innovative imaginative printmaking ingenious unorthodox 
companies~companies firms company corporations businesses 
resistance~resistance resistence insurgent guerrilla opposition 
government~government goverment governmment governent governemnt 
nuclear~nuclear atomic thermonuclear warheads snf 
proliferation~proliferation nonproliferation intepretation constrains interdicting 
funding~funding financing funds appropriation aid 
biotechnology~biotechnology consortia commercialize microgravity macro 
new~new york midamerica midsized christchurch 
space~space spaceflight skylab nasa spacelab 
non~non cpas nonproliferation hadash roofers 
commercial~commercial commerical assocations coldwell algemene 
launches~launches launch launchings marcopolo titan 
impact~impact impacts effects effect implications 
immigration~immigration naturalization ins customs enforcment 
law~law laws statutes statute bylaw 
generic~generic dyazide brandname bolar vitarine 
drug~drug narcotics drugs cocaine narcotic 
substitutions~substitutions decisons inadquate unobjective descramblers 
capacity~capacity megawatts kilowatts utilization lifespan 
cellular~cellular paging modem comcast pagers 
telephone~telephone phone telelphone telephones dialed 
network~network networks espn cnbc wtbs 
terrorists~terrorists terrorist agitators saboteurs extremists 
economic~economic ecnomic macroeconomic econmic ecomomic 
terrorism~terrorism terrorist terror barbarism merari 
death~death deaths lorea reprieved slaying 
cancer~cancer leukemia cancers malignancy melanoma 
fighting~fighting battling fight fought firefights 
drugs~drugs drug cocaine narcotics anabolic 
into~into onto through furrow furrows 
carcinogens~carcinogens carcinogenic dioxins carcinogen antidotes 
alternatives~alternatives alternative remedies therapies options 
traditional~traditional confucian basotho motifs hannukah 
therapies~therapies antiviral vaccines streptokinase treatments 
smoking~smoking smokers cigarette nonsmoking smoker 
ethics~ethics ethical wright gingrich credentialing 
and~and but or walstad including 
modern~modern moorish minjung modernist moderne 
r~r hastert wortley hiler lightfoot 
arms~arms weapons nonproliferation snf cedes 
agreements~agreements agreement pacts accords accord 
privatization~privatization privatizing privatize nationalization emasculation 
state~state unversity klauser downstate hamermesh 
assets~assets liabilities mbanks asset assests 
soviet~soviet soviets kremlin moscow gorbachev 
spying~spying espionage spied treason spy 
jewish~jewish jews hasidic sephardic sephardi 
emigration~emigration emigrate refuseniks codify visas 
ussr~ussr soviet adamyshin pedagogical bonden 
relations~relations relationship ties rapprochement relationships 
mcdonnell~mcdonnell boeing dcs twinjets industrie 
douglas~douglas mcdonnell dcs gow marjory 
aircraft~aircraft planes plane airplane jets 
stealth~stealth bomber ea midgetman blackbird 
hubble~hubble pegsat sts spacelab geostationary 
telescope~telescope telescopes hubble marcopolo energia 
human~human unalienable rights rehabilitative beings 
genome~genome unhappiest frailties thermodynamics schedulers 
project~project projects program kararao nagymaros 
possible~possible potential possibility likeliest feasible 
contributions~contributions donations contribution honorariums donation 
gene~gene genes nmda retrovirus glutamate 
mapping~mapping internet calibrate stereoscopic calibration 
medicine~medicine dentistry medicines neurology pharmacology 
diversification~diversification refocusing dealmaking revitalization geothermal 
pacific~pacific telesis pacfic carribean intermountain 
telesis~telesis ameritech bellsouth nynex woodworkers 
expansion~expansion expanding expansions growth revitalization 
theme~theme themes opryland storytelling heritage 
park~park bridger yellowstone bighorn targhee 
industry~industry companies industries deregulating nutritionists 
iranian~iranian iraqi iran tehran iranians 
support~support backing supporting supported supports 
lebanese~lebanese lebanon syrian druse shiite 
takers~takers taker enlistees takings enumerators 
islamic~islamic jihad moslem fundamentalist sharia 
revolution~revolution revolutions bolshevik inquisition proletarian 
domestic~domestic outpaces rustproofing upturns globalization 
foreign~foreign foriegn overseas wijeratna darroll 
social~social socio welfare societal socialistic 
consequences~consequences repercussions ramifications implications catastrophes 
fundamentalism~fundamentalism fanaticism radicalism extremism sects 
handling~handling handled handle mishandling mishandled 
its~its their our his the 
trade~trade exports erects chipmakers imports 
surplus~surplus surpluses deficit shortfall defict 
with~with wih wtih wiht witth 
regulated~regulated regulating regulate deregulating regulates 
grain~grain grains corn wheat soybean 
farming~farming ranching farm irrigated agriculturally 
why~why whether what how discrepency 
farmers~farmers growers ranchers farmer consumers 
management~management managment managers mangement bia 
problems~problems problem difficulties troubles inequities 
at~at aout wiith barbican wtih 
united~united states unied prc represenatives 
nations~nations countries states democracies caricom 
influence~influence influencing exerting clout subvert 
pro~pro antiwar anti tudeh militantly 
israel~israel shamir israeli israelis palestinians 
lobby~lobby lobbies lobbying lobbyists crillon 
negotiating~negotiating bargaining negotiations negotiate negotiation 
an~an another clincs etak unfinanced 
end~end ending thur thursay thereafer 
nicaraguan~nicaraguan contras nicaragua salvadoran honduran 
war~war aggressions hostilities tet aggressor 
productivity~productivity unionization payrolls efficiency competitiveness 
economy~economy economies inflation stagnating economic 
conflict~conflict conflicts antagonism rivalries kampuchean 
horn~horn gyula horns borics diomede 
africa~africa african namibia angola mozambique 
industrial~industrial industralized petrochemical manufacturing agro 
espionage~espionage spying spy spies treason 
campaign~campaign campaigns campaigning campaing counteroffensive 
financing~financing funding financings retrofitting coinsured 
coping~coping coped cope wreaking copes 
overcrowded~overcrowded unsanitary understaffed squalid overburdened 
prisons~prisons jails prison penitentiary prisoners 
accusations~accusations allegations accusation allegation charges 
cheating~cheating overcharge flouting transgressions laxity 
contractors~contractors contractor subcontractors consultants firms 
projects~projects project programs consortiums retrofitting 
coverage~coverage beneficaries coverages primetime airtime 
which~which that also although nonmilitary 
pays~pays paid paying pay earns 
long~long interminable tortuous japs shorter 
term~term terms concurrent repayable sightedness 
care~care inpatient uncompensated underinsured rehabilitative 
spills~spills spill slicks cleanups shorelines 
right~right reactionaries isreal reattachment predicate 
wing~wing wingers rightist shinui tehiya 
christian~christian christians druse phalange bkirki 
efforts~efforts effort attempts attempt urgings 
enact~enact enacts implement enacting adopt 
gun~gun handgun pistol guns rifle 
legislation~legislation bill measure omnibus amendments 
causes~causes cause mesothelioma asbestosis rheumatoid 
treatments~treatments therapies chemotherapy therapy cyclosporine 
multiple~multiple myeloma liposuction neurologic multiplicity 
sclerosis~sclerosis amyotrophic cystic lupus fibrosis 
ms~ms mrs she joanne bobbie 
limitations~limitations constraints restrictions precludes limitation 
members~members member leaders parliamentarians chairmanships 
congress~congress legislature lawmakers congressional senate 
electric~electric motors electrical electic transformer 
car~car cars truck vehicle bmw 
development~development revitalization redevelopment electrification reforestation 
vitamins~vitamins flavorings glucose carbohydrates citrate 
cure~cure cures rheumatism underdevelopment rheumatoid 
or~or either and unknowable exchangeable 
cause~cause causes caused causing overcooling 
ailments~ailments bronchitis illnesses rheumatoid asbestosis 
acid~acid sulfuric sulfur nitrogen emissions 
rain~rain snow sleet flurries showers 
automobile~automobile auto car cars vehicle 
recalls~recalls recalled remembers gurganus coley 
vietnam~vietnam hanoi vietnamese indochina cambodia 
veterans~veterans gis vets amputees ncoa 
agent~agent agents informant caffrey helterhoff 
orange~orange juice defoliant greenish unroasted 
illegal~illegal unlawful loansharking illicit unauthorized 
activities~activities activites activity actions operations 
tobacco~tobacco flue cigarette unmanufactured beverage 
company~company companies toymaker afg anac 
advertising~advertising ad ads commercials advertisements 
young~young impressionable talented sexiest thos 
standardized~standardized aptitude curricula proficiency confirmatory 
testing~testing tests test urinalysis tested 
cultural~cultural multicultural ultraleftist mikhoels intercultural 
bias~bias discrimination stereotyping prejudice politicization 
showing~showing showed shows shown show 
violence~violence unrest bloodshed rioting violent 
explicit~explicit homoerotic subliminal lewd pornographic 
sex~sex sexual intercourse promiscuous prostitute 
motion~motion motions kylie request minogue 
picture~picture pictures snapshot portrait photo 
theaters~theaters cinemas nightclubs auditoriums cafes 
television~television tv televison broadcast newscast 
video~video videocassette vhs videos prerecorded 
cassettes~cassettes prerecorded pirated casette camcorders 
amtrak~amtrak railroad lirr conrail metra 
cost~cost costs costing pricetag expense 
garbage~garbage trash waste rubbish sludge 
trash~trash garbage curbside rubbish bins 
removal~removal remove removing ouster withdrawal 
implantation~implantation implanting insemination cervix implants 
silicone~silicone surfactant cleansers secretes polyvinyl 
gel~gel vats myoblasts serotonin connective 
breast~breast ovarian cervical cervix cancer 
devices~devices device circuitry scanners sensors 
use~use using used uses fatten 
mutual~mutual wiesenberger reciprocity comity neighborliness 
funds~funds money monies funding fund 
individuals~individuals individual persons prepayments payers 
retirement~retirement pension retire retirements retirment 
strategy~strategy stategy strategies policy plan 
effectiveness~effectiveness efficacy usefulness reliability appropriateness 
products~products inks adhesives polymers flavorings 
programs~programs program projects wic curriculums 
utilized~utilized optimally advantaged overemphasized safeguarded 
cessation~cessation disbandment withdrawl reintegration slcm 
bans~bans ban banning prohibits banned 
hazardous~hazardous toxic radioactive pcb waste 
waste~waste wastes sludge landfills hazardous 
cleanup~cleanup cleanups superfund decontamination spill 
nra~nra lapierre aipac aclu nfu 
prevention~prevention perinatal radiological diarrheal combatting 
real~real estate hirotomo really immediacy 
life~life breadwinner lives steppingstone mothering 
private~private accrediting grantees internships taxpaying 
investigators~investigators detectives authorities investigator archeologists 
english~english language urdu fluently bengali 
as~as augurs shrewdest nomm hubaev 
dog~dog dogs rottweiler sled cat 
restaurants~restaurants eateries hotels shops taverns 
lands~lands territories land palestinans territory 
ineffectiveness~ineffectiveness shrillness essense obliteration combativeness 
embargoes~embargoes sanctions embargos embargo reimposing 
abuse~abuse promiscuity pedophilia bisexuality abuser 
elderly~elderly underinsured infirm dispossessed asthmatics 
family~family families relatives parents familes 
personnel~personnel personel dependants logistic staff 
initiatives~initiatives proposals initiative efforts programs 
being~being be having oftentimes puli 
taken~taken take taking took transfered 
minimize~minimize mitigate minimizing counteract rationalize 
this~this prevs subsides it doobies 
mistreatment~mistreatment maltreatment molestations harrassment persecutions 
overfishing~overfishing woodburning polynyas bythotrephes gillnet 
creates~creates create creating created perpetuates 
food~food foodstuffs foods exportable vegetables 
fish~fish salmon waterfowl redfish shrimp 
deficit~deficit defict deficits shortfall imbalance 
asbestos~asbestos friable dioxins formaldehyde aldicarb 
lawsuits~lawsuits lawsuit suits suit countersuits 
corporate~corporate restructurings infrequency fhlb recapitalizations 
pension~pension overfunded pensions unfunded retirement 
plans~plans planned plan intends planning 
difference~difference disparity correlation contradiction differences 
learning~learning learn civics learned commercializing 
levels~levels level ldl concentrations intraday 
among~among unmentionable outnumbers outumbered including 
inner~inner sanctum adjoin hostels blighted 
city~city town cities maceio toluca 
more~more less than fewer most 
suburban~suburban suburb surburban caloocan providencia 
school~school schools college elementary sophomores 
students~students student pupils teachers hehai 
signs~signs sign banners placards placard 
demise~demise emergence deformation reassessment brouhaha 
independent~independent indpendent indepedent independant guilds 
publishing~publishing publication publications intertec hardcover 
beachfront~beachfront oceanfront beachside landscaped ritzy 
erosion~erosion eroding dislocation deformation centralization 
motives~motives motivations motive ulterior motivation 
murder~murder slaying murders kidnapping murdering 
instances~instances cases illegalities embarrassments inaccuracies 
fraud~fraud bribery frauds racketeering payola 
involving~involving involve involves involved including 
a~a another the mutikori siraj 
improve~improve improving improved enhance upgrade 
schooling~schooling educations tutoring caregivers internships 
spill~spill spills fouled exxon cleanup 
toys~toys toy bedding trinkets rattles 
dangerous~dangerous carcinogenic disorienting problematic hazardous 
amount~amount amounts outlay sum allotment 
money~money funds monies insurors obligating 
earned~earned earn earning earnings received 
writers~writers playwrights novelists organists writer 
stock~stock topix shares shareholding stocks 
market~market markets bullishness prices bearishness 
attributable~attributable due offsets persisting attributed 
initiated~initiated spearheaded undertook undertaken instigated 
choice~choice choices choose dineh selection 
voucher~voucher coinsurance prepayment prepaid tefap 
effects~effects impact impacts adverse impairments 
upon~upon on symoblism busied appellant 
entire~entire whole rest every shrinks 
educational~educational education internships academic instructional 
program~program programs progam project wic 
jurisprudence~jurisprudence flra appelate canons juridical 
stop~stop stopped halt stops stopping 
juries~juries jury impaneled empaneled impanel 
granting~granting granted revoking renewals allowing 
unreasonable~unreasonable unwarranted unjustifiable warrantless impermissible 
monetary~monetary internatinal imf macroeconomic credit 
awards~awards award emmys oscars emmy 
therapy~therapy treatments chemotherapy electroshock psychotherapy 
benefits~benefits pensions benefit ssi stipends 
humankind~humankind tyrannies frailty neanderthals eventualy 
legality~legality constitutionality appropriateness admissibility illegality 
medically~medically ethically angiography educationally electroshock 
assisted~assisted aided assists assisting assist 
suicides~suicides rapes poisonings sids homicides 
textile~textile apparel textiles steel foundries 
imports~imports exports imported import shipments 
