airbus~airbus industrie jetliner airliner widebody
israel~israel shamir israeli syria egypt 
lobby~lobby lobbies lobbyists lobbying advocates 
negotiating~negotiating bargaining negotiations negotiation negotiate 
an~an another the a which 
end~end ending start halt beginning 
nicaraguan~nicaraguan salvadoran sandinista honduran mozambican 
war~war wars strife battle hostilities 
productivity~productivity efficiency payrolls wages profitability 
economy~economy economies inflation economic exports 
conflict~conflict conflicts dispute hostilities confrontation 
horn~horn borics horns thuermer sanibel 
africa~africa african korea africans angola 
industrial~industrial petrochemical manufacturing steelmaking agricultural 
espionage~espionage spying spy bribery smuggling 
campaign~campaign campaigns campaigning candidacy dukakis 
financing~financing funding funds loans loan 
coping~coping dealing cope grappling fraught 
overcrowded~overcrowded understaffed overburdened unsanitary crowded 
prisons~prisons jails prison penitentiary inmates 
accusations~accusations allegations accusation allegation charges 
cheating~cheating fraud corruption bribery dumping 
contractors~contractors contractor subcontractors consultants companies 
projects~projects project programs ventures dams 
coverage~coverage programming benefits broadcasts reimbursement 
which~which also that the already 
pays~pays paid paying earns owes 
long~long short shorter longer much 
term~term terms tenure duration shrift 
care~care molesters caring inpatient rehabilitative 
spills~spills spill slicks accidents leakage 
right~right going ought you want 
wing~wing wingers tehiya ultra rightist 
christian~christian druse moslem christians phalange 
efforts~efforts effort attempts attempt proposals 
enact~enact implement adopt establish enforce 
gun~gun pistol handgun guns rifle 
legislation~legislation bill measure provision amendments 
causes~causes cause sufferers debilitating degenerative 
treatments~treatments therapies chemotherapy therapy vaccines 
multiple~multiple numerous various lateral disabling 
sclerosis~sclerosis myeloma amyotrophic scarring cetacean 
ms~ms mrs cheryl baerbel norma 
limitations~limitations restrictions constraints limits restraints 
members~members member leaders representatives legislators 
congress~congress legislature senate parliament lawmakers 
electric~electric motors electrical transformer konosuke 
car~car truck vehicle cars motorcycle 
development~development revitalization redevelopment expansion research 
vitamins~vitamins vitamin tranquilizers glucose milligram 
cure~cure cures symptom treatable sufferers 
or~or and than their either 
cause~cause causes caused causing inflict 
ailments~ailments illnesses diseases disorders cancers 
acid~acid acids corrosive sulfur pollution 
rain~rain snow drizzle rains showers 
automobile~automobile auto car vehicle automotive 
recalls~recalls recalled remembers writes learns 
vietnam~vietnam vietnamese hanoi indochina korea 
veterans~veterans vets afdc citizens retirees 
agent~agent agents informant officer mancuso 
orange~orange tulare mendocino pistachio reddish 
illegal~illegal illicit unauthorized unlawful fraudulent 
activities~activities activity activites actions operations 
tobacco~tobacco beverage cigarette confectionery horticultural 
company~company companies corporation amax firm 
advertising~advertising ad ads advertisements commercials 
young~young talented younger elderly brave 
standardized~standardized proficiency aptitude breathalyzer sobriety 
testing~testing tests test screening urinalysis 
cultural~cultural culture religious artistic political 
bias~bias discrimination prejudice bigotry racism 
showing~showing showed shows shown indicating 
violence~violence unrest rioting bloodshed riots 
motion~motion motions petition counterclaim request 
picture~picture pictures photograph portrait photo 
theaters~theaters cinemas restaurants theater nightclubs 
television~television tv televison radio broadcast 
video~video videocassette videos vhs prerecorded 
cassettes~cassettes prerecorded tapes pirated videos 
amtrak~amtrak conrail railroad lirr commuter 
cost~cost costs pricetag costing expenses 
garbage~garbage trash rubbish waste burlap 
trash~trash garbage rubbish bins burlap 
removal~removal removing withdrawal ouster remove 
implantation~implantation implanting implants transplanting insertion 
silicone~silicone latex implants surfactant cellulose 
gel~gel epoxy cobalt vats charcoal 
breast~breast cervical ovarian prostate colorectal 
devices~devices device sensors equipment detectors 
use~use using utilize confiscate used 
mutual~mutual reciprocal multilateral broader strengthens 
funds~funds money monies funding fund 
individuals~individuals persons those individual people 
retirement~retirement pension severance retire retirements 
strategy~strategy strategies plan approach policy 
effectiveness~effectiveness reliability efficacy accuracy toxicity 
products~products product goods pharmaceuticals brands 
programs~programs program projects initiatives agencies 
utilized~utilized regulated safeguarded halogenated enforced 
cessation~cessation halt resumption cease elimination 
bans~bans ban banning forbids prohibits 
hazardous~hazardous toxic pcb radioactive infectious 
waste~waste wastes sludge sewage wastewater 
cleanup~cleanup cleanups superfund firefighting decommissioning 
nra~nra aclu aipac gop lapierre 
prevention~prevention immunization combating perinatal combatting 
real~real really very darn kirkeby 
life~life lives sorrows lifestyle beings 
private~private public nonprofit professional commercial 
investigators~investigators authorities detectives prosecutors officials 
english~english urdu afrikaans bengali spanish 
as~as intentioned so universally bodes 
dog~dog dogs cat puppy pet 
u~u foreign american philippine soviet 
s~s the whose its his 
restaurants~restaurants supermarkets franchised restaurant shops 
lands~lands territories land territory areas 
ineffectiveness~ineffectiveness systematic agonizingly judicious pcb 
embargoes~embargoes embargo sanctions curbs restrictions 
abuse~abuse molestation abuser promiscuity addiction 
elderly~elderly homeless infirm older indigent 
family~family clan mother parents families 
personnel~personnel personel staff officers employees 
initiatives~initiatives proposals initiative programs measures 
being~being having inadequately be were 
taken~taken taking took take transferred 
minimize~minimize lessen mitigate reduce minimizing 
this~this next it last that 
mistreatment~mistreatment torture brutality mistreated beatings 
overfishing~overfishing anadromous chippewas overexposure cleanups 
creates~creates creating create eliminates created 
food~food foods foodstuffs seafood meat 
fish~fish salmon birds waterfowl freshwater 
deficit~deficit deficits defict imbalance shortfall 
asbestos~asbestos friable radon dioxins aldicarb 
lawsuits~lawsuits lawsuit suits suit litigation 
corporate~corporate investment corporations reinvest financial 
pension~pension pensions retirement benefits compensation 
plans~plans planned intends plan wants 
difference~difference correlation disparity differences contradiction 
learning~learning learn learned teaching teach 
levels~levels level concentrations altitudes rates 
among~among including amongst other most 
more~more less fewer than most 
suburban~suburban suburb surburban nearby downtown 
school~school schools college eastfield eastside 
students~students pupils youths teachers schoolchildren 
signs~signs sign placards banners indications 
demise~demise downfall departure collapse emergence 
independent~independent indpendent autonomous indepedent fidesz 
publishing~publishing publishes hardcover publisher publications 
beachfront~beachfront oceanfront lakeside posh mansions 
erosion~erosion pollution deterioration accumulation cropland 
motives~motives motive motivations motivation reasons 
murder~murder manslaughter slaying murders homicide 
instances~instances cases incidents situations exceptions 
fraud~fraud bribery frauds payola extortion 
involving~involving including involves concerning involved 
a~a another the this one 
improve~improve enhance improving improved strengthen 
schooling~schooling tutoring care education educations 
spill~spill spills slicks cleanup leak 
toys~toys trinkets toy souvenirs gadgets 
r~r rifleman bliley w g 
dangerous~dangerous harmful disruptive stressful vulnerable 
amount~amount amounts sum quantities quantity 
money~money funds monies cash dollars 
earned~earned earning reaped earn lost 
writers~writers actors scriptwriters writer filmmakers 
stock~stock stocks shares share amex 
market~market markets prices marketplace stocks 
attributable~attributable attributed contributed due contributing 
initiated~initiated undertook undertaken instituted spearheaded 
choice~choice choices lifers tempore choose 
voucher~voucher vouchers coinsurance afdc ssi 
entire~entire whole rest every the 
educational~educational education academic instructional literacy 
program~program programs project plan package 
jurisprudence~jurisprudence affirming theologian upholds humanist 
stop~stop halt stopped keep refrain 
juries~juries jury jurors larceny judges 
granting~granting granted allowing revoking grant 
unreasonable~unreasonable unjustifiable unwarranted arbitrary impermissible 
therapy~therapy chemotherapy treatments cyclosporine electroshock 
benefits~benefits pensions benefit allowances premiums 
humankind~humankind internationalism fundamentalism mankind sisterhood 
legality~legality constitutionality validity merits admissibility 
medically~medically ethically morally angiography deem 
assisted~assisted aided supervised overseen oversaw 
suicides~suicides homicides deaths murders rapes 
textile~textile petrochemical apparel steel bidermann 
imports~imports exports imported import shipments 
ptl~ptl bakker dortch bakkers swaggart 
scandal~scandal scandals controversy revelations profiteering 
explicit~explicit objectionable obscene suggestive indecent 
sex~sex sexual intercourse anal lewd 
inner~inner dwellers transylvanian blighted czestochowa 
city~city town bluffs monterrey cities 
effects~effects impacts impact consequences hazards 
upon~upon on before after instead 
monetary~monetary imf credit economic macroeconomic 
awards~awards award emmys nominations oscars 
