airbus~airbus industrie airliner jetliner boeing 
backing~backing support backed supporting backers 
does~does did doesn would might 
rifle~rifle pistol rifles gun carbine 
association~association assocation federation associations institute 
have~have had ve has be 
computer~computer computers software supercomputer minicomputers 
aided~aided assisted hampered bolstered supported 
crime~crime crimes criminals mafia dropout 
detection~detection detecting detect radars detectors 
medical~medical dental psychiatric veterinary pediatric 
diagnosis~diagnosis diagnoses treatments patient medication 
fiber~fiber fibers rayon alloy calcium 
optics~optics optic optical arsenide electro 
applications~applications application applicants requests extensions 
manufacturers~manufacturers companies makers importers manufacturer 
controlling~controlling control controls acquiring citgo 
transfer~transfer transfers transferring transferred relinquish 
high~high low highest voc lower 
technology~technology technological technologies tech technologically 
design~design designs aerodynamic prototype designers 
star~star stars superstar starring starred 
wars~wars war sdi tebo warfare 
anti~anti pro denouncing anit opposing 
missile~missile missiles missle interceptors interceptor 
defense~defense justice pentagon dod interior 
system~system systems structure mechanisms program 
laser~laser lasers infrared particle magnets 
research~research study studies astrophysics analysis 
applicable~applicable enforceable apply applies required 
strategic~strategic conventional sdi snf nato 
initiative~initiative initiatives plan proposal proposals 
welfare~welfare education workfare afdc medicaid 
reform~reform reforms liberalization decentralization overhaul 
catastrophic~catastrophic medicare surtax repeal medicaid 
insurance~insurance insurers insurer aetna indemnity 
black~black blacks hispanic frilly female 
monday~monday wednesday thursday friday tuesday 
control~control controls controlling controlled jurisdiction 
japanese~japanese japan chinese overseas taiwanese 
regulation~regulation regulations rules laws guidelines 
protectionist~protectionist protectionism restrictive inflationary omnibus 
find~find get see prove locate 
innovative~innovative ambitious ingenious imaginative rewarding 
companies~companies firms corporations businesses company 
resistance~resistance insurgent rebel guerrilla opposition 
government~government goverment regime governments administration 
nuclear~nuclear atomic thermonuclear chemical ballistic 
proliferation~proliferation agression nonproliferation disarmament aggression 
funding~funding financing funds aid assistance 
biotechnology~biotechnology biotech pharmaceutical genetics technological 
new~new knicks current imreg newly 
space~space orbital unmanned nasa spaceflight 
non~non guaranteeing promoting sharing quasi 
commercial~commercial commerical leasing comercial chartering 
launches~launches launch launchings payloads shuttles 
impact~impact impacts effects implications repercussions 
immigration~immigration ins customs deportation naturalization 
law~law laws statute statutes constitution 
generic~generic brandname dyazide bolar fda 
drug~drug narcotics drugs cocaine heroin 
substitutions~substitutions bny antifraud pill decoupling 
capacity~capacity output capability megawatts utilization 
cellular~cellular paging cordless bellsouth cable 
telephone~telephone phone telephones phones telelphone 
network~network networks programming cnbc superstation 
terrorists~terrorists terrorist extremists guerrillas terrorism 
economic~economic economy macroeconomic oecd financial 
terrorism~terrorism terrorist terror subversion terrorists 
death~death deaths slaying execution fatally 
cancer~cancer leukemia cancers melanoma tumors 
fighting~fighting battling fight battles battle 
drugs~drugs drug narcotics cocaine steroids 
into~into through onto out back 
carcinogens~carcinogens carcinogenic contaminants dioxin chemicals 
alternatives~alternatives remedies alternative options ways 
traditional~traditional traditionally traditions predominant motifs 
therapies~therapies treatments vaccines cures medications 
smoking~smoking smokers smoker nicotine smoked 
ethics~ethics ethical judiciary wright gingrich 
and~and while including of with 
modern~modern medieval ancient perfected baroque 
r~r d g w lightfoot 
arms~arms weapons weaponry armaments disarmament 
agreements~agreements agreement pacts accords accord 
privatization~privatization privatize privatizing restructuring consolidation 
state~state illinois statewide pennsylvania oregon 
assets~assets asset investments subsidiaries holdings 
soviet~soviet kremlin soviets moscow gorbachev 
spying~spying espionage spied spies spy 
jewish~jewish jews sephardi gush emunim 
emigration~emigration emigrate emigrants refuseniks emigres 
ussr~ussr soviet oleg vasily velikhov 
relations~relations ties relationship rapprochement contacts 
mcdonnell~mcdonnell boeing northrop grumman widebody 
douglas~douglas john robert wayne cass 
aircraft~aircraft planes jets airplane plane 
stealth~stealth bomber sdi fsx ea 
hubble~hubble interplanetary pluto spehalski pegsat 
telescope~telescope telescopes infrared reflector nailpins 
human~human unalienable procreational reproductive bragging 
genome~genome immunodeficiency frailties chorionic lymphotropic 
project~project projects program experiment cahora 
possible~possible potential possibility necessary feasible 
contributions~contributions donations contribution pacs contributors 
gene~gene genes mitochondrial nmda erythropoietin 
mapping~mapping imaging doppler internet pathways 
medicine~medicine medical cardiology medicines veterinary 
diversification~diversification diversify lbo expansion acquisitions 
pacific~pacific atlantic aleutian gulf borneo 
telesis~telesis ameritech cathay nynex cwa 
expansion~expansion growth expansions expanding improvement 
theme~theme themes amusement winzer topic 
park~park parks bridger forest campground 
industry~industry companies industries manufacturers company 
iranian~iranian iraqi iran iranians tehran 
support~support backing sympathy commitment supports 
lebanese~lebanese lebanon syrian beirut druse 
takers~takers taker takings females litmus 
islamic~islamic islam moslem sharia karrubi 
revolution~revolution revolutionaries revolutions revolt monarchy 
domestic~domestic exports overseas worldwide foreign 
foreign~foreign overseas foriegn abroad mitsuzuka 
social~social socio welfare societal educational 
consequences~consequences repercussions implications effects impacts 
fundamentalism~fundamentalism fundamentalists zealots extremism fundamentalist 
handling~handling handled involving mishandling handle 
its~its the their which itself 
trade~trade exports imports export economic 
surplus~surplus deficit surpluses shortfall defict 
with~with and between in while 
regulated~regulated regulate regulates regulating utilized 
grain~grain corn wheat grains soybean 
farming~farming ranching dryland farm farms 
why~why what how if whether 
farmers~farmers growers crops consumers crop 
management~management managment managers managerial cnw 
problems~problems problem difficulties troubles crises 
at~at near during in where 
united~united signatory canada contiguous britain 
nations~nations countries states democracies governments 
influence~influence clout hegemony leverage pressure 
pro~pro backed anti leftist dissident 
israel~israel israeli shamir plo israelis 
lobby~lobby lobbies lobbyists lobbying lobbied 
negotiating~negotiating bargaining negotiations negotiated negotiate 
an~an another the a eleventh 
end~end ending halt start ended 
nicaraguan~nicaraguan nicaragua honduran sandinista salvadoran 
war~war insurrection wars hostilities occupation 
productivity~productivity payrolls efficiency competitiveness wages 
economy~economy economies economic inflation growth 
conflict~conflict conflicts feud dispute confrontation 
horn~horn horns honking gyula saxophones 
africa~africa african africans korea angola 
industrial~industrial manufacturing petrochemical factories industrialized 
espionage~espionage spying spy slandering spies 
campaign~campaign campaigns campaigning candidacy dukakis 
financing~financing funding refinancing loans underwrite 
coping~coping cope dealing fraught solving 
overcrowded~overcrowded overburdened crowded crowding overcrowding 
prisons~prisons jails prison penitentiary inmates 
accusations~accusations allegations accusation allegation charges 
cheating~cheating dumping poaching bias cheat 
contractors~contractors contractor consultants subcontractors contracts 
projects~projects project programs facilities ventures 
coverage~coverage programming benefits broadcasts reimbursement 
which~which the also that its 
pays~pays paid paying earns pay 
long~long short shorter longer much 
term~term terms circuited sightedness shrift 
care~care caring caregivers medicaid welfare 
spills~spills spill slicks accidents cleanups 
right~right wrong you want ought 
wing~wing wingers ultra tehiya rightist 
christian~christian druse christians phalange phalangist 
efforts~efforts effort attempts attempt initiatives 
enact~enact implement adopt enacting enforce 
gun~gun pistol handgun guns rifle 
legislation~legislation bill measure provision amendment 
causes~causes cause sufferers rashes infections 
treatments~treatments therapy chemotherapy therapies vaccines 
multiple~multiple various numerous lateral electrocardiogram 
sclerosis~sclerosis myeloma amyotrophic degenerative lateral 
ms~ms mrs miss she marcia 
limitations~limitations restrictions constraints limits restraints 
members~members member representatives leaders legislators 
congress~congress legislature senate congressional lawmakers 
electric~electric motors electrical dynamics turbine 
car~car vehicle cars truck jeep 
development~development revitalization projects developing redevelopment 
vitamins~vitamins vitamin supplements calcium rda 
cure~cure cures pneumocystis treatable carinii 
or~or either and any because 
cause~cause causes caused causing result 
ailments~ailments illnesses disorders cancers diseases 
acid~acid acidic sulfur pollution emissions 
rain~rain snow rains downpours rainfall 
automobile~automobile auto car automotive vehicle 
recalls~recalls remembers recalled admits recounted 
vietnam~vietnam vietnamese indochina hanoi cambodia 
veterans~veterans vets widowers derwinski disability 
agent~agent agents informant caffrey officer 
orange~orange ventura tulare pitkin multnomah 
illegal~illegal unlawful illicit unauthorized fraudulent 
activities~activities actions activity activites acts 
tobacco~tobacco cigarette cigarettes confectionery beverage 
company~company companies corporation amax tenneco 
advertising~advertising ad ads advertisements commercials 
young~young talented younger older overweight 
standardized~standardized aptitude proficiency scholastic polygraph 
testing~testing tests test screening tested 
cultural~cultural culture intellectual artistic multicultural 
bias~bias discrimination racism bigotry prejudice 
showing~showing showed shown shows indicating 
violence~violence bloodshed rioting riots unrest 
explicit~explicit obscene pornographic objectionable nudity 
sex~sex sexual intercourse copulation anal 
motion~motion motions request counterclaim petition 
picture~picture pictures photograph photos portrait 
theaters~theaters cinemas theater nightclubs studios 
television~television tv televison broadcast radio 
video~video videocassette videos nintendo vcrs 
cassettes~cassettes prerecorded tapes videocassette videos 
amtrak~amtrak railroad lirr conrail marciniak 
cost~cost costs pricetag costing expense 
garbage~garbage trash rubbish bins landfills 
trash~trash garbage bins curbside rubbish 
removal~removal removing remove ouster withdrawal 
implantation~implantation implanting implanted implant implants 
silicone~silicone implants polyurethane resin latex 
gel~gel glue gauze kevlar collagen 
breast~breast cervical ovarian mammogram rectal 
devices~devices device sensors equipment techniques 
use~use using used utilize uses 
mutual~mutual reciprocity reciprocal bilateral anzus 
funds~funds money monies fund funding 
individuals~individuals persons those individual corporations 
retirement~retirement pension retire retirements severance 
strategy~strategy strategies plan policy blueprint 
effectiveness~effectiveness efficacy reliability ability accuracy 
products~products product brands goods foods 
programs~programs program projects agencies initiatives 
utilized~utilized regulated scrutinized developed disposed 
cessation~cessation resumption halting halt cease 
bans~bans ban banning forbids prohibits 
hazardous~hazardous toxic recyclable radioactive combustible 
waste~waste wastes sludge landfills incineration 
cleanup~cleanup cleanups superfund spill exxon 
nra~nra lapierre aclu aipac lobbyists 
prevention~prevention immunization perinatal combatting combating 
real~real really kind very big 
life~life lives lifestyle lover beings 
private~private reputable nonprofit commerical specializing 
investigators~investigators authorities detectives prosecutors officials 
english~english urdu bengali pushtu tagalog 
as~as intentioned heeled so while 
dog~dog dogs cat puppy pet 
restaurants~restaurants eateries shops cafes hotels 
lands~lands territories land territory occupier 
ineffectiveness~ineffectiveness inefficiency moribund uncontrolled overemphasis 
embargoes~embargoes sanctions embargo curbs restrictions 
abuse~abuse abuser molestation addiction abusers 
elderly~elderly infirm disabled older homeless 
family~family parents mother father families 
personnel~personnel personel officers employees units 
initiatives~initiatives proposals initiative measures programs 
being~being having be unjustly inadequately 
taken~taken taking took take transferred 
minimize~minimize lessen minimizing reduce avoid 
this~this it next that every 
mistreatment~mistreatment torture brutality beatings harassment 
overfishing~overfishing antarctic waters driftnet yellowfin 
creates~creates creating created create gives 
food~food foods foodstuffs meat bedding 
fish~fish salmon clams freshwater oysters 
deficit~deficit deficits defict imbalance surplus 
asbestos~asbestos friable pesticides chemicals dioxin 
lawsuits~lawsuits lawsuit suits suit litigation 
corporate~corporate corporations corporation citicorp lbo 
pension~pension pensions retirement pensioners benefits 
plans~plans planned intends plan wants 
difference~difference disparity correlation similarity differences 
learning~learning learn teaching learned teach 
levels~levels level concentrations thresholds significantly 
among~among including notably included include 
inner~inner dwellers transylvanian rural traverse 
city~city town bluffs panhandles monterrey 
more~more less fewer rather faster 
suburban~suburban suburb surburban nearby suburbs 
school~school schools college sophomores eastside 
students~students pupils student youngsters teachers 
signs~signs sign banners placards placard 
demise~demise downfall departure collapse triumph 
independent~independent indpendent autonomous indepedent moledet 
publishing~publishing hardcover publishes publisher printing 
beachfront~beachfront oceanfront waikiki posh ritzy 
erosion~erosion pollution seepage vegetation deterioration 
motives~motives motive motivations motivation reasons 
murder~murder slaying murders murdering manslaughter 
instances~instances cases incidents occasions exceptions 
fraud~fraud frauds bribery irregularities scam 
involving~involving including involves concerning involved 
a~a another the an this 
improve~improve improving improved enhance strengthen 
schooling~schooling educations education schools preschool 
spill~spill spills cleanup slicks slick 
toys~toys toy dolls trinkets gadgets 
dangerous~dangerous harmful disruptive harmless vulnerable 
amount~amount amounts sum quantities quantity 
money~money funds monies cash dollars 
earned~earned earning earns reaped earn 
writers~writers actors playwrights essayists scriptwriters 
stock~stock shares stocks share amex 
market~market markets prices stocks traders 
attributable~attributable attributed contributed offset due 
initiated~initiated undertaken undertook spearheaded led 
choice~choice tempore choices rata lifers 
voucher~voucher vouchers supplemental needy afdc 
effects~effects impact impacts consequences hazards 
upon~upon on solely before for 
entire~entire whole rest every the 
educational~educational education literacy instructional academic 
program~program programs project system plan 
jurisprudence~jurisprudence upholds affirms conforms admissibility 
stop~stop halt stopped refrain prevent 
juries~juries jury courts jurors larceny 
granting~granting granted revoking allowing applying 
unreasonable~unreasonable arbitrary unacceptable unwarranted unnecessary 
monetary~monetary imf macroeconomic economic stabilization 
awards~awards award emmys oscars nominations 
therapy~therapy chemotherapy treatments electroshock treatment 
benefits~benefits pensions benefit retirees allowances 
humankind~humankind mankind richness humanity spirituality 
legality~legality constitutionality validity merits regarding 
medically~medically ethically dosage therapies laparotomy 
assisted~assisted aided assisting cooperated participated 
suicides~suicides homicides deaths rapes murders 
textile~textile steel textiles apparel pharmaceutical 
imports~imports exports import imported shipments 
